title,company,city,salary,source,collected_at
Главный специалист Отдела развития и внедрения сквозных технологий искусственного интеллекта,АО НПО ТЕХНОМАШ ИМ. С.А. АФАНАСЬЕВА,Москва,,zarplata.ru,2026-05-09 16:47:55
Ассистент психолога,ООО Октопустех,Москва,,zarplata.ru,2026-05-09 16:47:55
Senior DevOps инженер (SRE),EcoFinance,Москва,,zarplata.ru,2026-05-09 16:47:55
QA Auto,Miractal,Москва,,zarplata.ru,2026-05-09 16:47:55
AI Automation Builder / Vibe Coder,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НК ЛАБОРАТОРИИ,Москва,,zarplata.ru,2026-05-09 16:47:56
ML Engineer,Астор,Москва,,zarplata.ru,2026-05-09 16:47:56
Тестировщик-автоматизатор (Fullstack QA),Ruli.ru,Екатеринбург,,zarplata.ru,2026-05-09 16:47:56
Руководитель IT отдела,МосТАБАК,Москва,,zarplata.ru,2026-05-09 16:47:56
BIM-координатор ОВиК/ВК (BIM-координатор ОВ),ООО ПСК Азурит,Москва,,zarplata.ru,2026-05-09 16:47:56
QA automation,ООО ФАЙВДЖЕН,Москва,,zarplata.ru,2026-05-09 16:47:56
Java разработчик AppSec Registry (senior),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:56
Руководитель отдела системного администрирования,Wallet One,Москва,,zarplata.ru,2026-05-09 16:47:57
Преподаватель IT в детскую онлайн-школу,ООО Спринг,Казань,,zarplata.ru,2026-05-09 16:47:57
Lead Data Engineer,ООО Гоуланг Технологии,Москва,,zarplata.ru,2026-05-09 16:47:57
Системный администратор,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:47:57
Junior business development manager / Младший менеджер по развитию бизнеса (B2B),ООО НТ Прогресс,Москва,,zarplata.ru,2026-05-09 16:47:57
Руководитель отдела разработки,StormWall™,Москва,,zarplata.ru,2026-05-09 16:47:58
Linux System Administrator,TEKNOLAB,"Санкт-Петербург, р-н Приморский",,zarplata.ru,2026-05-09 16:47:58
Инженер сети передачи данных,ООО Защищенные Телекоммуникации,"Тула, р-н Советский",,zarplata.ru,2026-05-09 16:47:58
AI инженер RnD,ООО РегионСтройКомплект,Москва,,zarplata.ru,2026-05-09 16:47:58
Руководитель группы системной разработки,AERODISK,Москва,,zarplata.ru,2026-05-09 16:47:58
Разработчик 1С,ООО ЛОГОПЕР,Москва,,zarplata.ru,2026-05-09 16:47:58
Программист микроконтроллеров,ООО ЭМ Рус,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:58
MLOps Engineer,Sapiens solutions,Москва,,zarplata.ru,2026-05-09 16:47:59
Инженер по тестированию (Тестировщик) Senior/Middle+,Иттех,Москва,,zarplata.ru,2026-05-09 16:47:59
Аналитик КХД/DWH,ЛИАН,Москва,,zarplata.ru,2026-05-09 16:47:59
"Data Engineer (S3, Spark)",ООО Тера Интегро,Москва,,zarplata.ru,2026-05-09 16:47:59
Аналитик по прогнозированию закупок,"ООО Бристоль, сеть магазинов, Работа в офисе",Нижний Новгород,,zarplata.ru,2026-05-09 16:47:59
